query_id,canonical_label,species,text,script_mix,colour,margin,distribution,texture,organ,severity,coverage,is_healthy,split
0,rose_healthy,rose,"namaskar, ek problem hai - पत्ते पर koi dikkat nahi hai abhi spray kya daalu",mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,train
1,rose_healthy,rose,"namaskar, ek problem hai - patti par paudha bilkul theek lag raha hai kya karu bataiye",latin_hinglish,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,train
2,rose_healthy,rose,"Sir mera paudha kharab ho raha hai, leaf pe koi dikkat nahi hai abhi काय करावं सांगा",mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,train
3,rose_healthy,rose,"Sir mera paudha kharab ho raha hai, पानावर रोपटं व्यवस्थित आहे काय करावं सांगा",mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,train
4,rose_healthy,rose,sir ji झाड निरोगी दिसतंय kya karu bataiye,mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,train
5,rose_healthy,rose,"photo bhej raha hoon, dekhiye पत्ते पर paudha bilkul theek lag raha hai",mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,test
6,rose_healthy,rose,"namaskar, ek problem hai - sab healthy hai, bas photo check karwani thi kya karu bataiye",latin_hinglish,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,val
7,rose_healthy,rose,"photo bhej raha hoon, dekhiye patti par paudha bilkul theek lag raha h",latin_hinglish,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,train
8,rose_healthy,rose,"namaskar, ek problem hai - paudha bilkul theek lag raha hai काय करावं सांगा",mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,train
9,rose_healthy,rose,bhaiya dekhiye पानावर रोपटं व्यवस्थित आहे yeh kya bimari hai,mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,test
10,rose_healthy,rose,"namaskar, ek problem hai - पानावर kuch bhi ajeeb nahi laga",mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,val
11,rose_healthy,rose,पानावर रोपटं व्यवस्थित आहे yeh kya bimari hai,mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,train
12,rose_healthy,rose,"Sir mera paudha kharab ho raha hai, patti par झाड निरोगी दिसतंय काय करावं सांगा",mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,train
13,rose_healthy,rose,"photo bhej raha hoon, dekhiye leaf pe sab healthy hai, bas photo check karwani thi",latin_hinglish,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,train
14,rose_healthy,rose,"मला एक अडचण आहे, पत्ते पर रोपटं व्यवस्थित आहे ilaj bataiye please",mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,train
15,rose_healthy,rose,पानावर kuch bhi ajeeb nahi laga काय करावं सांगा,mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,val
16,rose_healthy,rose,"namaskar, ek problem hai - पानावर रोपटं व्यवस्थित आहे काय करावं सांगा",mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,val
17,rose_healthy,rose,leaf pe kuch bhi ajeeb nahi laga yeh kya bimari hai,latin_hinglish,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,val
18,rose_healthy,rose,"Sir mera paudha kharab ho raha hai, patti par रोपटं व्यवस्थित आहे ilaj bataiye please",mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,train
19,rose_healthy,rose,"photo bhej raha hoon, dekhiye leaf pe koi dikkat nahi h abhi काय करावं सांगा",mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,val
20,rose_healthy,rose,bhaiya dekhiye patti par रोपटं व्यवस्थित आहे yeh kya bimari hai,mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,train
21,rose_healthy,rose,sir ji पानावर kuch bhi ajeeb nahi laga,mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,train
22,rose_healthy,rose,"Sir mera paudha kharab ho raha hai, leaf pe paudha bilkul theek lag raha hai kya karu bataiye",latin_hinglish,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,val
23,rose_healthy,rose,"मला एक अडचण आहे, पानावर kuch bhi ajeeb nahi laga kya karu bataiye",mixed_script,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,train
24,rose_healthy,rose,"namaskar, ek problem hai - kuch bhi ajeeb nahi laga",latin_hinglish,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,val
25,rose_healthy,rose,bhaiya dekhiye leaf pe koi dikkat nahi hai abhi ilaj bataiye please,latin_hinglish,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1,val
