canonical_label,species,colour,margin,distribution,texture,organ,severity,coverage,is_healthy
rose_healthy,rose,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1
rose_black_spot,rose,black,diffuse_feathered,random_scattered,smooth_flat,leaf,3,0.3,0
rose_powdery_mildew,rose,white_powdery,diffuse_feathered,uniform_general,powdery,leaf,3,0.45,0
rose_downy_mildew,rose,purple_red,angular_vein_limited,interveinal,downy_fuzzy,leaf,3,0.35,0
rose_rust,rose,rust_orange,sharply_defined,random_scattered,raised_pustular,leaf,2,0.2,0
rose_anthracnose,rose,black,halo_bearing,random_scattered,sunken_cankerous,leaf,2,0.18,0
rose_botrytis_flower_blight,rose,necrotic_brown,diffuse_feathered,marginal,velvety_sporulating,petal,3,0.4,0
marigold_healthy,marigold,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1
marigold_leaf_spot,marigold,necrotic_brown,halo_bearing,concentric_ringed,smooth_flat,leaf,3,0.28,0
marigold_powdery_mildew,marigold,white_powdery,diffuse_feathered,uniform_general,powdery,leaf,3,0.45,0
marigold_botrytis_flower_blight,marigold,necrotic_brown,diffuse_feathered,uniform_general,velvety_sporulating,petal,3,0.5,0
hibiscus_healthy,hibiscus,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1
hibiscus_leaf_spot,hibiscus,necrotic_brown,halo_bearing,random_scattered,smooth_flat,leaf,2,0.22,0
hibiscus_rust,hibiscus,rust_orange,sharply_defined,random_scattered,raised_pustular,leaf,2,0.2,0
generic_healthy,mixed,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1
generic_leaf_spot,mixed,necrotic_brown,halo_bearing,random_scattered,smooth_flat,leaf,2,0.25,0
generic_powdery_mildew,mixed,white_powdery,diffuse_feathered,uniform_general,powdery,leaf,3,0.4,0
generic_rust,mixed,rust_orange,sharply_defined,random_scattered,raised_pustular,leaf,2,0.2,0
generic_blight,mixed,necrotic_brown,diffuse_feathered,marginal,velvety_sporulating,leaf,3,0.45,0
rose_pest_damage,rose,necrotic_brown,angular_vein_limited,random_scattered,raised_pustular,leaf,2,0.15,0
marigold_leaf_blight,marigold,necrotic_brown,diffuse_feathered,marginal,velvety_sporulating,leaf,3,0.4,0
marigold_pest_damage,marigold,necrotic_brown,angular_vein_limited,random_scattered,raised_pustular,leaf,2,0.15,0
tomato_early_blight,tomato,necrotic_brown,halo_bearing,concentric_ringed,smooth_flat,leaf,3,0.35,0
tomato_late_blight,tomato,necrotic_brown,diffuse_feathered,random_scattered,velvety_sporulating,leaf,3,0.45,0
tomato_leaf_mold,tomato,chlorotic_yellow,angular_vein_limited,interveinal,downy_fuzzy,leaf,2,0.3,0
tomato_septoria_leaf_spot,tomato,necrotic_brown,halo_bearing,random_scattered,smooth_flat,leaf,2,0.28,0
tomato_target_spot,tomato,necrotic_brown,halo_bearing,concentric_ringed,smooth_flat,leaf,2,0.25,0
tomato_spider_mite_damage,tomato,chlorotic_yellow,angular_vein_limited,random_scattered,raised_pustular,leaf,2,0.22,0
tomato_mosaic_virus,tomato,chlorotic_yellow,angular_vein_limited,random_scattered,smooth_flat,leaf,2,0.2,0
tomato_yellow_leaf_curl_virus,tomato,chlorotic_yellow,diffuse_feathered,uniform_general,smooth_flat,leaf,3,0.4,0
potato_early_blight,potato,necrotic_brown,halo_bearing,concentric_ringed,smooth_flat,leaf,3,0.3,0
potato_late_blight,potato,necrotic_brown,diffuse_feathered,marginal,velvety_sporulating,leaf,3,0.42,0
pepper_bacterial_spot,pepper,necrotic_brown,halo_bearing,random_scattered,smooth_flat,leaf,2,0.25,0
apple_scab,apple,necrotic_brown,halo_bearing,random_scattered,smooth_flat,leaf,2,0.24,0
apple_black_rot,apple,black,halo_bearing,random_scattered,sunken_cankerous,leaf,3,0.32,0
apple_cedar_apple_rust,apple,rust_orange,sharply_defined,random_scattered,raised_pustular,leaf,2,0.18,0
cherry_powdery_mildew,cherry,white_powdery,diffuse_feathered,uniform_general,powdery,leaf,3,0.5,0
peach_bacterial_spot,peach,necrotic_brown,halo_bearing,random_scattered,smooth_flat,leaf,2,0.2,0
grape_black_rot,grape,black,halo_bearing,random_scattered,sunken_cankerous,leaf,3,0.35,0
grape_esca,grape,black,angular_vein_limited,interveinal,sunken_cankerous,leaf,3,0.38,0
grape_leaf_blight,grape,necrotic_brown,diffuse_feathered,marginal,velvety_sporulating,leaf,3,0.4,0
strawberry_leaf_scorch,strawberry,chlorotic_yellow,halo_bearing,random_scattered,smooth_flat,leaf,2,0.27,0
squash_powdery_mildew,squash,white_powdery,diffuse_feathered,uniform_general,powdery,leaf,3,0.46,0
maize_gray_leaf_spot,maize,necrotic_brown,halo_bearing,random_scattered,smooth_flat,leaf,2,0.28,0
maize_common_rust,maize,rust_orange,sharply_defined,random_scattered,raised_pustular,leaf,2,0.22,0
maize_northern_leaf_blight,maize,necrotic_brown,diffuse_feathered,marginal,velvety_sporulating,leaf,3,0.4,0
rose_nutrient_deficiency,rose,chlorotic_yellow,not_applicable,interveinal,smooth_flat,leaf,2,0.35,0
hibiscus_nutrient_deficiency,hibiscus,chlorotic_yellow,not_applicable,interveinal,smooth_flat,leaf,2,0.35,0
tomato_bacterial_spot,tomato,necrotic_brown,halo_bearing,random_scattered,smooth_flat,leaf,2,0.22,0
apple_healthy,apple,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1
pepper_healthy,pepper,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1
tomato_healthy,tomato,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1
maize_healthy,maize,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1
cherry_healthy,cherry,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1
potato_healthy,potato,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1
strawberry_healthy,strawberry,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1
peach_healthy,peach,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1
grape_healthy,grape,not_applicable,not_applicable,not_applicable,not_applicable,leaf,0,0.0,1
